node_id,name,txt,syntax,tags,is_ro,is_richtxt,has_codebox,has_table,has_image,level,ts_creation,ts_lastsave
136,Příroda,"<?xml version=""1.0"" ?><node><rich_text scale=""h1"">Oheň - Život - Prvky</rich_text><rich_text>
Přidružené vědy: Matematika, Biologie, Biochemie

</rich_text><rich_text scale=""h1"">Voda - Pohyb - Látky</rich_text><rich_text>
Přidružené vědy: Fyzika, Hydrologie, Hydrochemie

</rich_text><rich_text scale=""h1"">Vzduch - Okolí - Prostředí</rich_text><rich_text>
Přidružené vědy: Chemie, Ekologie, Toxikologie

</rich_text><rich_text scale=""h1"">Země - Planeta</rich_text><rich_text>
Přidružené vědy: Geologie, Astronomie
</rich_text></node>",custom-colors,,0,1,0,0,0,0,0,0
276,Mineraly,"<?xml version=""1.0"" ?><node><rich_text>Prvky
Sloučeniny
Nerosty

Voda </rich_text><rich_text link=""webs http://www.osel.cz/9448-voda-existuje-jako-dve-ruzne-kapaliny.html"">http://www.osel.cz/9448-voda-existuje-jako-dve-ruzne-kapaliny.html</rich_text></node>",custom-colors,,0,1,0,0,0,0,0,0
173,Prvky,"<?xml version=""1.0"" ?><node><rich_text></rich_text></node>",custom-colors,,0,1,0,0,0,0,0,0
174,Sloučeniny,"<?xml version=""1.0"" ?><node><rich_text></rich_text></node>",custom-colors,,0,1,0,0,0,0,0,0
327,Nerosty,"<?xml version=""1.0"" ?><node><rich_text>select * from </rich_text></node>",custom-colors,,0,1,0,0,0,0,0,1514705791.71475
33,Život a Biologie,"<?xml version=""1.0"" ?><node><rich_text>
</rich_text><rich_text scale=""h2"">Buněčná taxonomie</rich_text><rich_text>
Taxonomická Kategorie - </rich_text><rich_text link=""webs https://cs.wikipedia.org/wiki/Kategorie_(biologie)"">https://cs.wikipedia.org/wiki/Kategorie_(biologie)</rich_text><rich_text>
</rich_text><rich_text scale=""h2"">Fylogenetický strom</rich_text><rich_text>

Archaea
Procaryotae
Eukaryotae


Mesmerizing Time Lapse Of Wood Cross Sections Being Cut Slice By Slice </rich_text><rich_text link=""webs http://geekologie.com/2017/06/mesmerizing-time-lapse-of-wood-cross-sec.php"">http://geekologie.com/2017/06/mesmerizing-time-lapse-of-wood-cross-sec.php</rich_text><rich_text>
</rich_text></node>",custom-colors,,0,1,0,0,0,0,0,1526677929.202924
268,Archaea - Archbacterium,"<?xml version=""1.0"" ?><node><rich_text></rich_text></node>",custom-colors,,0,1,0,0,0,0,0,0
53,Procaryotae - Bacterium,"<?xml version=""1.0"" ?><node><rich_text></rich_text></node>",custom-colors,,0,1,0,0,0,0,0,0
12,Protista - Jednobuněční,"<?xml version=""1.0"" ?><node><rich_text></rich_text></node>",custom-colors,,0,1,0,0,0,0,1526677880.555236,1526677880.555236
13,Fungi - Houby,"<?xml version=""1.0"" ?><node><rich_text></rich_text></node>",custom-colors,,0,1,0,0,0,0,1526677895.428046,1526677895.428046
